score,count,rank_low,rank_high
294,84,63215,63298
293,85,63299,63383
292,100,63384,63483
291,71,63484,63554
290,81,63555,63635
289,83,63636,63718
288,72,63719,63790
287,85,63791,63875
286,73,63876,63948
285,67,63949,64015
284,60,64016,64075
283,69,64076,64144
282,77,64145,64221
281,62,64222,64283
280,58,64284,64341
279,66,64342,64407
278,43,64408,64450
277,54,64451,64504
276,53,64505,64557
275,71,64558,64628
274,51,64629,64679
273,47,64680,64726
272,58,64727,64784
271,55,64785,64839
270,56,64840,64895
269,48,64896,64943
268,33,64944,64976
267,40,64977,65016
266,31,65017,65047
265,44,65048,65091
264,44,65092,65135
263,39,65136,65174
262,39,65175,65213
261,34,65214,65247
260,38,65248,65285
259,36,65286,65321
258,46,65322,65367
257,44,65368,65411
256,25,65412,65436
255,29,65437,65465
254,37,65466,65502
253,44,65503,65546
252,33,65547,65579
251,40,65580,65619
250,33,65620,65652
249,26,65653,65678
248,29,65679,65707
247,33,65708,65740
246,26,65741,65766
245,29,65767,65795
244,27,65796,65822
243,31,65823,65853
242,31,65854,65884
241,36,65885,65920
240,34,65921,65954
239,22,65955,65976
238,20,65977,65996
237,28,65997,66024
236,18,66025,66042
235,16,66043,66058
234,14,66059,66072
233,21,66073,66093
232,22,66094,66115
231,22,66116,66137
230,21,66138,66158
229,14,66159,66172
228,15,66173,66187
227,26,66188,66213
226,16,66214,66229
225,18,66230,66247
224,8,66248,66255
223,11,66256,66266
222,12,66267,66278
221,6,66279,66284
220,15,66285,66299
219,15,66300,66314
218,6,66315,66320
217,17,66321,66337
216,11,66338,66348
215,8,66349,66356
