college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
3516,新疆科技学院,999,不限选考科目,479,,visual_ocr_needs_spotcheck,86939,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3517,新疆理工学院,500,选考化学,480,,visual_ocr_needs_spotcheck,86154,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3517,新疆理工学院,999,不限选考科目,479,,visual_ocr_needs_spotcheck,86939,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3518,新疆农业大学,500,选考化学,478,,visual_ocr_needs_spotcheck,87828,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3518,新疆农业大学,999,不限选考科目,491,,visual_ocr_needs_spotcheck,76979,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3519,新疆农业大学(高收费),999,不限选考科目,478,,visual_ocr_needs_spotcheck,87828,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3520,新疆师范大学,500,选考化学,486,,visual_ocr_needs_spotcheck,81079,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3520,新疆师范大学,700,选考思想政治,532,,visual_ocr_needs_spotcheck,46183,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3520,新疆师范大学,900,选考地理,507,,visual_ocr_needs_spotcheck,64125,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3520,新疆师范大学,999,不限选考科目,485,,visual_ocr_needs_spotcheck,81945,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3521,新疆医科大学,500,选考化学,495,,visual_ocr_needs_spotcheck,73670,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3521,新疆医科大学,516,选考化学且生物学,474,,visual_ocr_needs_spotcheck,91278,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3521,新疆医科大学,999,不限选考科目,498,,visual_ocr_needs_spotcheck,71202,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3523,新疆政法学院,500,选考化学,486,,visual_ocr_needs_spotcheck,81079,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3523,新疆政法学院,999,不限选考科目,484,,visual_ocr_needs_spotcheck,82760,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3524,新乡学院,500,选考化学,486,,visual_ocr_needs_spotcheck,81079,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
